term,subject,name,email,cgpa,videourl,project_url,profilepic,public_profile_url
2023t2,MLP,Ishaan Sridhar,22f1000969@ds.study.iitm.ac.in,9.49,https://www.youtube.com/watch?v=YFyaCC-WmA6,https://drive.google.com/file/d/aE1ciQDY99T,https://randomuser.me/api/portraits/women/31.jpg,
2023t3,MLP,Zaina Venkatesh,21f3000574@ds.study.iitm.ac.in,7.73,https://www.youtube.com/watch?v=DwLcZGhKchw,https://drive.google.com/file/d/dnHladBJJGW,https://randomuser.me/api/portraits/women/0.jpg,http://rama.com/
2023t1,MLP,Diya Master,24f2000958@ds.study.iitm.ac.in,6.04,https://www.youtube.com/watch?v=IyCObIMBfAM,https://drive.google.com/file/d/j2wFWCxKwNP,,
2024t2,MLP,Jivin Solanki,21f1000597@ds.study.iitm.ac.in,7.5,https://www.youtube.com/watch?v=nq7Iju9SiY4,https://drive.google.com/file/d/O2ab2XoTZUA,https://randomuser.me/api/portraits/women/42.jpg,https://kanda.com/
2021t3,MLP,Divit Buch,23f2000240@ds.study.iitm.ac.in,9.65,https://www.youtube.com/watch?v=7bTgaXCsSXm,https://drive.google.com/file/d/zSTWQieJuNj,https://randomuser.me/api/portraits/women/74.jpg,http://swamy-mall.net/
2024t1,MLP,Anya Bhardwaj,21f2000826@ds.study.iitm.ac.in,8.32,https://www.youtube.com/watch?v=iZndoeEIvaK,https://drive.google.com/file/d/RmkZeey9n4U,https://randomuser.me/api/portraits/women/54.jpg,https://www.balan.com/
2024t1,MLP,Himmat Ratta,21f3000280@ds.study.iitm.ac.in,6.89,,https://drive.google.com/file/d/z5VS3F-xf7q,,
2023t2,MLP,Indranil Tank,23f1000916@ds.study.iitm.ac.in,8.97,https://www.youtube.com/watch?v=H3CzZYN0F8G,https://drive.google.com/file/d/b8eKc18d4t8,https://randomuser.me/api/portraits/men/93.jpg,http://keer.com/
2021t1,MLP,Chirag Chaudry,23f1000461@ds.study.iitm.ac.in,8.4,https://www.youtube.com/watch?v=ktSruYyIz2N,https://drive.google.com/file/d/wWZPomBnfBe,https://randomuser.me/api/portraits/men/24.jpg,http://magar.com/
2024t1,MLP,Gatik Yogi,21f3000668@ds.study.iitm.ac.in,9.09,https://www.youtube.com/watch?v=FT-R6oGJ43K,,https://randomuser.me/api/portraits/women/58.jpg,https://sachdeva.com/
2023t1,MLP,Biju Choudhry,21f3000028@ds.study.iitm.ac.in,9.0,https://www.youtube.com/watch?v=KCt2WlNMxSM,,https://randomuser.me/api/portraits/men/88.jpg,http://bajwa-garde.org/
2021t3,MLP,Ryan Tak,24f3000323@ds.study.iitm.ac.in,7.28,https://www.youtube.com/watch?v=iMhkGcMsuCS,https://drive.google.com/file/d/WykAeXCCFzK,,http://www.de.com/
2024t1,MLP,Prerak Barman,23f3000341@ds.study.iitm.ac.in,9.28,https://www.youtube.com/watch?v=9gDatMjGrw7,,https://randomuser.me/api/portraits/women/57.jpg,https://www.mandal.info/
2023t1,MLP,Purab Madan,22f1000418@ds.study.iitm.ac.in,6.9,https://www.youtube.com/watch?v=m3JwroBQ-5N,,https://randomuser.me/api/portraits/men/28.jpg,http://dutt.com/
2024t3,MLP,Jivika Gola,23f2000815@ds.study.iitm.ac.in,7.68,,https://drive.google.com/file/d/8HLKnPRnv4V,https://randomuser.me/api/portraits/men/7.jpg,https://ramachandran-lad.com/
2021t2,MLP,Vardaniya Chatterjee,21f3000472@ds.study.iitm.ac.in,7.34,https://www.youtube.com/watch?v=T15s4UaMcsa,https://drive.google.com/file/d/fjKpw2BnkGd,https://randomuser.me/api/portraits/women/0.jpg,https://hayre.org/
2023t2,MLP,Jivin Golla,22f3000929@ds.study.iitm.ac.in,7.63,https://www.youtube.com/watch?v=olTl_6eMevj,https://drive.google.com/file/d/ZUNNARf0VZe,https://randomuser.me/api/portraits/men/39.jpg,http://jani-dutt.net/
2021t1,MLP,Damini Gandhi,22f2000978@ds.study.iitm.ac.in,7.01,https://www.youtube.com/watch?v=h-gcfcgQzBm,https://drive.google.com/file/d/dm5al2x07la,https://randomuser.me/api/portraits/men/78.jpg,http://bhattacharyya-bahl.net/
2023t3,MLP,Divyansh Kaul,22f1000695@ds.study.iitm.ac.in,6.87,https://www.youtube.com/watch?v=1a9jW8I9ceW,https://drive.google.com/file/d/M3b9JORNU88,https://randomuser.me/api/portraits/women/70.jpg,http://baria-sampath.com/
2022t2,MLP,Keya Garg,21f3000156@ds.study.iitm.ac.in,9.89,https://www.youtube.com/watch?v=aWF0W_X8FUo,,https://randomuser.me/api/portraits/women/24.jpg,https://madan.com/
