term,subject,name,email,cgpa,videourl,project_url,profilepic,public_profile_url
2022t2,BDM,Nakul Rastogi,22f2000805@ds.study.iitm.ac.in,9.3,,https://drive.google.com/file/d/6EOzwyFzmle,,http://www.kade.com/
2022t3,BDM,Tushar Tata,22f1000238@ds.study.iitm.ac.in,7.57,,https://drive.google.com/file/d/3srnPldYWit,https://randomuser.me/api/portraits/women/15.jpg,http://www.vora.com/
2023t2,BDM,Zaina Barman,21f1000325@ds.study.iitm.ac.in,6.94,https://www.youtube.com/watch?v=s7Cjimk4Bbe,https://drive.google.com/file/d/YlIbDQXFZDu,,http://lad.com/
2022t2,BDM,Jivin Kurian,22f2000838@ds.study.iitm.ac.in,7.12,,https://drive.google.com/file/d/vuHHwzDvTrm,https://randomuser.me/api/portraits/men/11.jpg,https://chandra-sanghvi.com/
2023t2,BDM,Nishith Chaudhary,22f1000443@ds.study.iitm.ac.in,6.83,https://www.youtube.com/watch?v=FEeqYG2oB1w,https://drive.google.com/file/d/B2VvNZ6LFHL,https://randomuser.me/api/portraits/women/0.jpg,https://balan-dhaliwal.net/
2021t1,BDM,Ishita Gandhi,21f3000929@ds.study.iitm.ac.in,7.96,,https://drive.google.com/file/d/BZ-NsdmnU8V,https://randomuser.me/api/portraits/women/81.jpg,http://www.sura.com/
2024t3,BDM,Yuvraj  Sachdeva,23f1000842@ds.study.iitm.ac.in,9.87,https://www.youtube.com/watch?v=tMsmu3d7BGT,https://drive.google.com/file/d/Y-dbqbYIr3x,https://randomuser.me/api/portraits/women/65.jpg,https://www.choudhary.net/
2024t1,BDM,Samaira Garg,24f1000039@ds.study.iitm.ac.in,6.12,https://www.youtube.com/watch?v=kFo5upMu7IL,https://drive.google.com/file/d/jb-lhpAaNLe,https://randomuser.me/api/portraits/women/77.jpg,
2023t3,BDM,Amira Baral,22f1000354@ds.study.iitm.ac.in,8.84,https://www.youtube.com/watch?v=rhNPJobchCo,https://drive.google.com/file/d/-Y8i4k_EmGq,https://randomuser.me/api/portraits/men/74.jpg,
2021t1,BDM,Pranay Sangha,23f3000156@ds.study.iitm.ac.in,7.69,https://www.youtube.com/watch?v=EJSSwn7-WN8,,https://randomuser.me/api/portraits/men/61.jpg,http://www.dhawan.com/
2021t2,BDM,Nitya Chada,24f3000307@ds.study.iitm.ac.in,6.38,https://www.youtube.com/watch?v=5sSh4hwHUCC,https://drive.google.com/file/d/PFTpK9z4vAq,https://randomuser.me/api/portraits/women/88.jpg,https://tiwari-chad.com/
2021t3,BDM,Shanaya Dhaliwal,23f2000576@ds.study.iitm.ac.in,7.24,https://www.youtube.com/watch?v=CA1sHBBHsGh,https://drive.google.com/file/d/jmC7ztyX1fl,https://randomuser.me/api/portraits/men/92.jpg,http://www.kata-seth.info/
2023t1,BDM,Adira Sathe,23f3000609@ds.study.iitm.ac.in,6.2,https://www.youtube.com/watch?v=LeTJrASncTM,,https://randomuser.me/api/portraits/men/11.jpg,http://chaudry.org/
2021t2,BDM,Aaryahi Dasgupta,21f1000913@ds.study.iitm.ac.in,9.7,,,,http://ghosh.net/
2021t3,BDM,Charvi Grover,22f1000974@ds.study.iitm.ac.in,7.35,https://www.youtube.com/watch?v=pOTjaXAn7oE,https://drive.google.com/file/d/_Z2PD6cBKw1,https://randomuser.me/api/portraits/women/84.jpg,http://www.uppal.net/
2021t2,BDM,Nitya Dhar,21f2000892@ds.study.iitm.ac.in,8.77,https://www.youtube.com/watch?v=u0Sn_umMKIN,https://drive.google.com/file/d/JcU-O0qltB_,,http://www.wagle.biz/
2023t2,BDM,Lakshit Jaggi,24f2000663@ds.study.iitm.ac.in,7.22,,,,http://www.kapoor-sethi.net/
2023t2,BDM,Saksham Kara,23f2000229@ds.study.iitm.ac.in,6.16,https://www.youtube.com/watch?v=AP_F3yPkPT6,https://drive.google.com/file/d/HsxJCFfY3Ta,https://randomuser.me/api/portraits/women/28.jpg,https://www.sandhu.com/
2024t1,BDM,Jayant Sastry,24f1000496@ds.study.iitm.ac.in,9.19,https://www.youtube.com/watch?v=uZIeTN9LsL0,https://drive.google.com/file/d/s6ujbWpw2bQ,,https://www.shroff.info/
2021t2,BDM,Mahika Shanker,22f3000474@ds.study.iitm.ac.in,6.68,https://www.youtube.com/watch?v=Rlk4jsSH3Hz,https://drive.google.com/file/d/IVh8y0BwJ0u,https://randomuser.me/api/portraits/women/60.jpg,http://www.goswami.com/
2023t3,BDM,Yashvi Talwar,21f1000922@ds.study.iitm.ac.in,6.99,https://www.youtube.com/watch?v=Z22iCxL89t7,https://drive.google.com/file/d/RheG4Km87dM,,
2023t2,BDM,Kartik Kothari,22f3000415@ds.study.iitm.ac.in,8.59,https://www.youtube.com/watch?v=kDxYCAZe270,https://drive.google.com/file/d/pyzW62M4tBP,,https://www.sridhar-ramakrishnan.net/
2024t2,BDM,Anvi Banik,21f3000344@ds.study.iitm.ac.in,6.6,https://www.youtube.com/watch?v=5w117OcRNEg,https://drive.google.com/file/d/cM0diXeXSoz,https://randomuser.me/api/portraits/women/22.jpg,https://kade.com/
2023t1,BDM,Keya Sampath,24f2000823@ds.study.iitm.ac.in,7.77,https://www.youtube.com/watch?v=sOC4X7G1DJB,https://drive.google.com/file/d/bNcbwjfedag,https://randomuser.me/api/portraits/women/20.jpg,https://chand.biz/
2023t3,BDM,Vardaniya Sarma,24f1000301@ds.study.iitm.ac.in,9.33,https://www.youtube.com/watch?v=PAtVSmExCa8,https://drive.google.com/file/d/yxTVm-Dp7Fm,https://randomuser.me/api/portraits/women/85.jpg,http://www.saxena.biz/
