term,subject,name,email,profilepic,public_profile_url
2022t1,MAD2,Kiaan Bhat,21f2000490@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/79.jpg,https://www.sibal-behl.biz/
2023t2,MAD1,Kavya Malhotra,21f3000032@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/54.jpg,http://rege-shere.com/
2023t3,BDM,Jayant Handa,21f1000178@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/93.jpg,https://deep.info/
2023t3,BDM,Vaibhav Vaidya,24f2000794@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/71.jpg,http://barad.com/
2022t2,MAD1,Suhana Ratta,22f3000557@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/10.jpg,http://gade.net/
2022t3,BDM,Biju Bhatia,24f3000623@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/19.jpg,https://www.kakar-upadhyay.net/
2022t2,MAD1,Anahi Borah,21f2000890@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/92.jpg,http://www.chowdhury.com/
2021t3,MAD1,Badal Batra,24f1000045@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/80.jpg,http://www.subramaniam.com/
2022t1,MAD1,Vivaan Raman,24f3000269@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/27.jpg,http://www.balakrishnan.com/
2024t3,MLP,Jhanvi Deol,21f3000405@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/66.jpg,https://kalita.com/
2023t2,MLP,Shanaya Chad,21f2000154@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/20.jpg,https://walia.com/
2023t3,BDM,Yashvi Kapadia,22f1000689@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/32.jpg,https://www.varghese.com/
2023t3,MLP,Jayan Chana,21f2000542@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/9.jpg,https://www.keer-jha.com/
2024t1,BDM,Tanya Mangat,22f3000216@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/62.jpg,http://www.dugar-lata.info/
2021t1,MAD2,Eshani Malhotra,23f2000262@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/65.jpg,
2021t3,MAD2,Vritika Dyal,21f3000746@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/21.jpg,https://www.bhasin-sastry.biz/
2022t3,BDM,Kashvi Toor,22f1000961@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/62.jpg,http://www.dhillon-gandhi.com/
2022t1,MAD1,Divij Bhatnagar,24f2000691@ds.study.iitm.ac.in,,https://www.saini-hans.info/
2023t2,MAD2,Saanvi Kata,21f2000008@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/88.jpg,http://gokhale.org/
2023t3,MAD2,Misha Ramaswamy,23f1000167@ds.study.iitm.ac.in,,https://gour.com/
2024t2,MAD1,Manjari Chand,24f1000794@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/68.jpg,https://ratti-ravel.com/
2021t2,MLP,Anika Bhatia,21f2000041@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/85.jpg,
2024t3,MLP,Ishita Lad,24f2000381@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/41.jpg,http://gokhale-barman.com/
2022t2,MAD1,Ishaan Mannan,21f1000198@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/23.jpg,
