term,name,email,cgpa,videourl,profilepic,public_profile_url
2021t2,Riya Srinivasan,22f3000398@ds.study.iitm.ac.in,6.71,https://www.youtube.com/watch?v=qiEDPb2mkKG,https://randomuser.me/api/portraits/women/2.jpg,https://www.devan.com/
2022t1,Nirvaan Ravel,23f3000585@ds.study.iitm.ac.in,6.23,https://www.youtube.com/watch?v=bamtP_2MfIi,https://randomuser.me/api/portraits/men/62.jpg,https://www.kari.org/
2023t2,Hansh Badami,23f2000013@ds.study.iitm.ac.in,8.64,https://www.youtube.com/watch?v=KHPE00P2VFY,https://randomuser.me/api/portraits/women/19.jpg,https://ray.com/
2024t1,Ryan Kannan,23f1000914@ds.study.iitm.ac.in,8.21,https://www.youtube.com/watch?v=9ppHRj38tjD,https://randomuser.me/api/portraits/women/22.jpg,http://dubey.com/
2022t1,Abram Gala,24f1000241@ds.study.iitm.ac.in,7.34,https://www.youtube.com/watch?v=RTl302xHvg0,https://randomuser.me/api/portraits/men/90.jpg,http://keer.com/
2022t3,Tanya Guha,22f3000509@ds.study.iitm.ac.in,8.06,https://www.youtube.com/watch?v=TveNuq4danG,https://randomuser.me/api/portraits/women/63.jpg,http://www.choudhry.com/
2024t2,Ojas Bera,21f2000078@ds.study.iitm.ac.in,9.04,https://www.youtube.com/watch?v=OqhwR3X8Eo9,https://randomuser.me/api/portraits/women/4.jpg,http://balakrishnan-borde.org/
2023t2,Miraya Magar,22f2000955@ds.study.iitm.ac.in,9.87,https://www.youtube.com/watch?v=q6uyuJnpidb,https://randomuser.me/api/portraits/men/26.jpg,https://www.shanker.com/
2023t1,Jayant Dara,21f3000946@ds.study.iitm.ac.in,8.15,https://www.youtube.com/watch?v=Gnml0_LSVOL,https://randomuser.me/api/portraits/men/13.jpg,http://raja.biz/
2023t2,Kismat Dash,21f1000649@ds.study.iitm.ac.in,9.51,https://www.youtube.com/watch?v=qTZyvcjaKEw,https://randomuser.me/api/portraits/men/54.jpg,
2024t3,Dhanush Devi,23f2000277@ds.study.iitm.ac.in,8.04,https://www.youtube.com/watch?v=oRe_wI00wJy,https://randomuser.me/api/portraits/women/46.jpg,https://www.rout-shukla.com/
2021t3,Ivan Ranganathan,23f3000625@ds.study.iitm.ac.in,8.35,,https://randomuser.me/api/portraits/men/54.jpg,http://vora-rao.com/
2022t1,Ehsaan Verma,24f1000632@ds.study.iitm.ac.in,8.66,,https://randomuser.me/api/portraits/men/59.jpg,http://sharaf.com/
2022t1,Kabir Vohra,21f3000448@ds.study.iitm.ac.in,6.7,https://www.youtube.com/watch?v=ExSQcp1uoF3,https://randomuser.me/api/portraits/women/28.jpg,
2024t3,Vivaan Bhakta,23f2000739@ds.study.iitm.ac.in,6.21,,https://randomuser.me/api/portraits/men/30.jpg,https://sabharwal.com/
2023t3,Zaina Bawa,21f1000459@ds.study.iitm.ac.in,9.53,https://www.youtube.com/watch?v=E6ACp-hcdym,,https://lanka.biz/
2023t3,Ehsaan Kant,23f1000718@ds.study.iitm.ac.in,6.88,https://www.youtube.com/watch?v=Ia7ZnvPhSeu,,https://www.krishnan.biz/
2021t3,Vanya Dass,22f3000951@ds.study.iitm.ac.in,9.87,,,
2021t1,Zaina Wali,23f2000449@ds.study.iitm.ac.in,7.61,https://www.youtube.com/watch?v=XPGxfjfUEt9,https://randomuser.me/api/portraits/women/45.jpg,https://www.toor.com/
2024t3,Sana Dugal,21f2000377@ds.study.iitm.ac.in,8.33,https://www.youtube.com/watch?v=V0vAgOG_Srd,https://randomuser.me/api/portraits/men/17.jpg,
2021t1,Lakshit Grover,24f1000003@ds.study.iitm.ac.in,9.9,https://www.youtube.com/watch?v=D8LUBcTucG7,https://randomuser.me/api/portraits/men/6.jpg,http://www.sarkar-dixit.com/
2021t3,Hiran Srinivasan,21f2000198@ds.study.iitm.ac.in,6.87,https://www.youtube.com/watch?v=l0V9LFVoGWx,https://randomuser.me/api/portraits/women/47.jpg,http://www.chhabra.com/
2023t2,Nehmat Lal,21f3000940@ds.study.iitm.ac.in,9.55,https://www.youtube.com/watch?v=2C8YFeeignL,https://randomuser.me/api/portraits/men/77.jpg,http://www.talwar.com/
2021t3,Riya Sarna,22f1000800@ds.study.iitm.ac.in,7.04,https://www.youtube.com/watch?v=uKCRlqRJ0RN,,https://thakkar.net/
2023t2,Pihu Chacko,24f1000614@ds.study.iitm.ac.in,7.83,https://www.youtube.com/watch?v=pZ0ixwf0BTp,https://randomuser.me/api/portraits/men/34.jpg,http://www.varghese-vyas.info/
